module,feature_id,feature_name,description,status,priority,notes,deadline
User Management,USR-001,Get All Users,API endpoint to retrieve all users from database,completed,high,GET /api/users,
User Management,USR-002,Get User by Username,API endpoint to retrieve a specific user by username,completed,high,GET /api/users/:username,
User Management,USR-003,Create User,API endpoint to create a new user account,completed,high,POST /api/users,
User Management,USR-004,Update User,API endpoint to update user information,completed,high,PUT /api/users/:username,
User Management,USR-005,Delete User,API endpoint to delete a user account,completed,high,DELETE /api/users/:username,
Lead Management,LEAD-001,Get All Leads,API endpoint to retrieve all leads with optional filters (status industry country search),completed,high,GET /api/leads with query parameters,
Lead Management,LEAD-002,Get Lead Statistics,API endpoint to get lead statistics and analytics,completed,high,GET /api/leads/stats,
Lead Management,LEAD-003,Get Leads with Email Count,API endpoint to retrieve leads with email communication count,completed,high,GET /api/leads/with-email-count,
Lead Management,LEAD-004,Get Lead by ID,API endpoint to retrieve a specific lead by ID,completed,high,GET /api/leads/:id,
Lead Management,LEAD-005,Create Lead,API endpoint to create a new lead,completed,high,POST /api/leads,
Lead Management,LEAD-006,Update Lead,API endpoint to update lead information,completed,high,PUT /api/leads/:id,
Lead Management,LEAD-007,Delete Lead,API endpoint to delete a lead,completed,high,DELETE /api/leads/:id,
Email Templates,ET-001,Get All Email Templates,API endpoint to retrieve all email templates,completed,high,GET /api/email-templates,
Email Templates,ET-002,Get Template by ID,API endpoint to retrieve a specific email template by ID,completed,high,GET /api/email-templates/:id,
Email Templates,ET-003,Create Email Template,API endpoint to create a new email template,completed,high,POST /api/email-templates,
Email Templates,ET-004,Update Email Template,API endpoint to update email template content,completed,high,PUT /api/email-templates/:id,
Email Templates,ET-005,Delete Email Template,API endpoint to delete an email template,completed,high,DELETE /api/email-templates/:id,
Email Logs,EL-001,Get All Email Logs,API endpoint to retrieve all email logs optionally filtered by leadId,completed,high,GET /api/email-logs?leadId=,
Email Logs,EL-002,Get Email Log by ID,API endpoint to retrieve a specific email log by ID,completed,high,GET /api/email-logs/:id,
Email Logs,EL-003,Create Email Log,API endpoint to create a new email log entry,completed,high,POST /api/email-logs,
Email Logs,EL-004,Update Email Log,API endpoint to update email log information,completed,high,PUT /api/email-logs/:id,
Email Logs,EL-005,Delete Email Log,API endpoint to delete an email log,completed,high,DELETE /api/email-logs/:id,
Email Logs,EL-006,Get Email Attachments,API endpoint to retrieve attachments for an email log,completed,medium,GET /api/email-logs/:id/attachments,
Email Logs,EL-007,Create Email Attachment,API endpoint to create an attachment for an email log,completed,medium,POST /api/email-logs/:id/attachments,
Email Logs,EL-008,Delete Email Attachment,API endpoint to delete an email attachment,completed,medium,DELETE /api/email-logs/attachments/:attachmentId,
Chat Messages,CHAT-001,Get Chat Messages by Username,API endpoint to retrieve all chat messages for a specific user,completed,high,GET /api/chat-messages/:username,
Chat Messages,CHAT-002,Create Chat Message,API endpoint to create a new chat message,completed,high,POST /api/chat-messages,
Chat Messages,CHAT-003,Delete All Messages by Username,API endpoint to delete all messages for a user,completed,medium,DELETE /api/chat-messages/:username,
Chat Messages,CHAT-004,Delete Single Message,API endpoint to delete a single chat message by ID,completed,medium,DELETE /api/chat-messages/message/:id,
AI Integration - Gemini,GEM-001,Lead Data Enrichment,AI endpoint to enrich lead data using Gemini API with Google Search,completed,high,POST /api/gemini/enrich - Uses gemini-2.5-flash-lite with Google Search tool,
AI Integration - Gemini,GEM-002,Draft Sales Email,AI endpoint to draft personalized sales emails using Gemini,completed,high,POST /api/gemini/draft-email - Returns JSON with subject and body,
AI Integration - Gemini,GEM-003,Chat Assistant,AI chat assistant with ICCA Leads knowledge base integration,completed,high,POST /api/gemini/chat - Uses ICCA Leads data for context,
AI Integration - Gemini,GEM-004,Video Image Analysis,AI endpoint to analyze video/images for competitive intelligence,completed,medium,POST /api/gemini/analyze-video - Analyzes competitor venues and sales opportunities,
AI Integration - Gemini,GEM-005,Knowledge Base Summary,API endpoint to get ICCA Leads knowledge base summary,completed,medium,GET /api/gemini/knowledge-base,
AI Integration - Gemini,GEM-006,Strategic Analysis,AI endpoint for comprehensive event strategic analysis with mandatory field research,completed,high,POST /api/gemini/strategic-analysis - Enriches 8 mandatory fields (openYear localHostName localHostTitle localHostEmail localHostPhone localStrengths layout conferenceRegistration),
AI Integration - GPT,GPT-001,Extract Organizations,AI endpoint to extract organization names from data using GPT-4o-mini,completed,medium,POST /api/gpt/extract-organizations,
AI Integration - GPT,GPT-002,Strategic Analysis,AI endpoint for strategic event analysis using GPT-4o-mini with research tools,completed,high,POST /api/gpt/strategic-analysis - Comprehensive analysis with mandatory field validation,
AI Integration - GPT,GPT-003,Data Enrichment,AI endpoint to enrich organization data using GPT-4o-mini,completed,high,POST /api/gpt/enrich - Researches contact info website industry etc,
AI Integration - GPT,GPT-004,Draft Email,AI endpoint to draft sales emails using GPT-4o-mini,completed,medium,POST /api/gpt/draft-email,
AI Integration - GPT,GPT-005,Chat Assistant,AI chat assistant with ICCA Leads knowledge base using GPT,completed,high,POST /api/gpt/chat - Uses ICCA Leads data for context,
AI Integration - GPT,GPT-006,Event Eligibility Check,AI endpoint to check event eligibility (Vietnam history ICCA qualification recent activity),completed,high,POST /api/gpt/check-event-eligibility - Validates 3 golden rules for ICCA qualification,
AI Integration - GPT,GPT-007,Edition Research,AI endpoint to research edition-specific leadership (temporarily disabled),pending,low,POST /api/gpt/research-edition - Currently returns empty data,
Data Import - Excel,EXCEL-001,Upload Excel File,API endpoint to upload and process Excel files (.xls .xlsx),completed,high,POST /api/excel-import/upload - Supports multiple sheets data cleaning duplicate removal,
Data Import - Excel,EXCEL-002,Excel Data Analysis,AI endpoint to analyze Excel data and extract high-potential leads,completed,high,POST /api/excel-import/analyze - Uses Gemini API for analysis and enrichment,
Data Import - Excel,EXCEL-003,Data Cleaning,Utility function to clean and normalize Excel data,completed,high,Removes duplicates normalizes values handles multiple sheets,
Data Import - Excel,EXCEL-004,Event Extraction,Utility function to extract events from Excel Editions sheet,completed,high,Groups editions by SeriesName extracts event history,
Data Import - CSV,CSV-001,Upload CSV File,API endpoint to upload and process CSV files,completed,high,POST /api/csv-import/upload - Parses CSV with proper handling of quoted values,
Data Import - CSV,CSV-002,CSV Data Parsing,Utility function to parse CSV with duplicate detection,completed,high,Handles BOM headers quoted values duplicate removal,
Event Brief Export,EB-001,Export Event Brief to Word,API endpoint to export Event Brief as Word document (.docx),completed,high,POST /api/event-brief/export - Uses docx library to generate formatted Word document,
Event Brief Export,EB-002,Event Brief Sections,Generate comprehensive Event Brief sections (Event Brief Event History International Organisation Bidding Information Other Information),completed,high,Includes all required sections with AI-researched field markers,
Event Brief Export,EB-003,AI Field Marking,Mark AI-researched fields in Event Brief export,completed,high,Adds [AI Researched] marker to fields filled by AI,
Event Scoring,SCORE-001,Calculate Event Score,Utility function to calculate total event score (0-100),completed,high,Calculates historyScore regionScore contactScore delegatesScore,
Event Scoring,SCORE-002,History Score Calculation,Calculate history score based on Vietnam and SEA events,completed,high,25 points for Vietnam events 15 for SEA 0 otherwise,
Event Scoring,SCORE-003,Region Score Calculation,Calculate region score based on event name and locations,completed,high,25 for ASEAN/Asia/Pacific keywords 15 for Asian locations,
Event Scoring,SCORE-004,Contact Score Calculation,Calculate contact score based on available contact information,completed,high,25 for email+phone 20 for email+name 15 for email only,
Event Scoring,SCORE-005,Delegates Score Calculation,Calculate delegates score based on average attendance,completed,high,25 for 500+ 20 for 300+ 10 for 100+,
Event Scoring,SCORE-006,Format Event History,Utility function to format event history from editions,completed,medium,Formats as YEAR: City Country (delegates),
Data Quality Assessment,DQ-001,Detect Data Issues,Utility function to detect data quality issues in organization data,completed,high,Identifies critical warnings and info-level issues,
Data Quality Assessment,DQ-002,Calculate Data Quality Score,Utility function to calculate data quality score (0-100),completed,high,Deducts points for issues adds bonus for complete data,
Data Quality Assessment,DQ-003,Extract Organization Name,Utility function to extract organization name from data,completed,high,Handles multiple field name variations case-insensitive,
Data Quality Assessment,DQ-004,Extract Event Name,Utility function to extract event name from Editions sheet,completed,high,Prioritizes SeriesName for grouping editions,
Data Quality Assessment,DQ-005,Validate Email Format,Utility function to validate email format,completed,medium,Regex-based email validation,
Data Quality Assessment,DQ-006,Validate Phone Format,Utility function to validate phone format,completed,medium,Basic phone number validation,
System Infrastructure,INFRA-001,Health Check Endpoint,API endpoint to check system and database health,completed,high,GET /health - Tests database connection,
System Infrastructure,INFRA-002,Test Endpoint,Simple test endpoint to verify API is running,completed,low,GET /test,
System Infrastructure,INFRA-003,CORS Configuration,Configure CORS for frontend integration,completed,high,Supports multiple origins development and production,
System Infrastructure,INFRA-004,Error Handling Middleware,Express error handling middleware,completed,high,Handles errors and returns appropriate status codes,
System Infrastructure,INFRA-005,404 Handler,Express 404 handler for unmatched routes,completed,medium,Returns 404 JSON response,
Database,DB-001,Database Connection Pooling,PostgreSQL connection pooling configuration,completed,high,Uses pg library with connection pooling,
Database,DB-002,User Model,Database model for user operations,completed,high,CRUD operations for users table,
Database,DB-003,Lead Model,Database model for lead operations,completed,high,CRUD operations for leads table with filtering,
Database,DB-004,Email Template Model,Database model for email template operations,completed,high,CRUD operations for email_templates table,
Database,DB-005,Email Log Model,Database model for email log operations,completed,high,CRUD operations for email_logs and attachments,
Database,DB-006,Chat Message Model,Database model for chat message operations,completed,high,CRUD operations for chat_messages table,
AI Knowledge Base,KB-001,ICCA Leads Knowledge Base,Load and format ICCA Leads data as knowledge base for AI,completed,high,Provides context to AI about leads industry country patterns,
AI Knowledge Base,KB-002,Knowledge Base Formatting,Format leads data into structured knowledge base text,completed,high,Includes industry distribution country breakdown high-priority leads,
AI Knowledge Base,KB-003,High Priority Lead Identification,Identify high-priority leads (Vietnam events 300+ delegates),completed,high,Automatically flags leads for AI context,
Rate Limiting,RL-001,Retry Delay Extraction,Extract retry delay from rate limit errors,completed,medium,Handles Gemini and GPT API rate limits,
Rate Limiting,RL-002,Rate Limit Error Handling,Handle rate limit errors with retry information,completed,medium,Returns retryDelay and isRateLimit flags,
File Upload,FILE-001,Multer Configuration,Configure multer for file uploads (Excel CSV),completed,high,Memory storage 10MB limit file type validation,
File Upload,FILE-002,Excel File Validation,Validate Excel file types (.xls .xlsx .xlsm),completed,high,File filter for Excel MIME types,
File Upload,FILE-003,CSV File Validation,Validate CSV file types (.csv .txt),completed,high,File filter for CSV MIME types,
